frame,x,y,visible
0,2351.014892578125,1248.8121337890625,1
1,2351.4077786451967,1248.607228594082,1
2,2351.47675074684,1248.591725169479,1
3,2351.5080091428863,1248.6040749552176,1
4,2351.491805963641,1248.539995512291,1
5,2351.433500846204,1248.5327197055494,1
6,2351.4030773695504,1248.5056566877024,1
7,2351.366453866083,1248.5576657404745,1
8,2351.345309134288,1248.5476691988242,1
9,2351.3040696957646,1248.526673777002,1
10,2351.2782700631906,1248.519468311179,1
11,2351.255929234588,1248.513733157901,1
12,2351.2144557980005,1248.5092588952073,1
13,2351.1987618007493,1248.49316873373,1
14,2351.1878826716265,1248.4826020151884,1
15,2351.1926089662043,1248.4759119328328,1
16,2351.1937163480798,1248.4750857391741,1
17,2351.191351055217,1248.4759914914696,1
18,2351.1904082756405,1248.4697527741207,1
19,2351.1841458889494,1248.4737437365593,1
20,2351.1805773387873,1248.4710900194514,1
21,2351.202547101604,1248.4822139891871,1
22,2351.2273127161775,1248.513764432367,1
23,2351.2311541147697,1248.5198691850649,1
24,2351.2458469303956,1248.5053883171886,1
25,2351.2654833664096,1248.4706553301412,1
26,2351.278891144455,1248.4389826372167,1
27,2351.2928986297534,1248.4076458860882,1
28,2351.2928705256213,1248.3801128918094,1
29,2351.283525543358,1248.357561872915,1
30,2351.271782694105,1248.344515841802,1
31,2351.2604405240727,1248.3333286135826,1
32,2351.244975964292,1248.3652858890016,1
33,2351.2262356577507,1248.3893039687603,1
34,2351.211224699883,1248.4108923713468,1
35,2351.1983624011386,1248.42911546884,1
36,2351.2050994993247,1248.4297023535144,1
37,2351.2112569887763,1248.4465860801558,1
38,2351.21670291624,1248.4219623756849,1
39,2351.2241108460075,1248.4028140311323,1
40,2351.2374425495595,1248.3741623854362,1
41,2351.2447943429065,1248.3537874147562,1
42,2351.2566815929094,1248.3279549857082,1
43,2351.2684876048593,1248.3304562103626,1
44,2351.2736263298975,1248.3319758667012,1
45,2351.254482141194,1248.3525482584555,1
46,2351.238303495006,1248.3694441044527,1
47,2351.2261701447146,1248.366507264611,1
48,2351.2280173442555,1248.3541645093135,1
49,2351.229952690492,1248.3483779727933,1
50,2351.238843003755,1248.3316788464133,1
51,2351.2519021515022,1248.335138236721,1
52,2351.2607339848614,1248.344572171453,1
53,2351.2715817729168,1248.351787706117,1
54,2351.271521209841,1248.3438653523808,1
55,2351.26853620616,1248.3394352802356,1
56,2351.245401755114,1248.3488028975407,1
57,2351.2473466233605,1248.31449150056,1
58,2351.246449309466,1248.2866976213727,1
59,2351.259108298356,1248.270041746348,1
60,2351.261944088724,1248.260597987454,1
61,2351.2619207437447,1248.264539659354,1
62,2351.255173577994,1248.2659391022266,1
63,2351.261639246222,1248.2654125453896,1
64,2351.248800241991,1248.2724239150605,1
65,2351.246236898286,1248.2646723826454,1
66,2351.2226758333554,1248.2591428139885,1
67,2351.206296213296,1248.2559437060304,1
68,2351.194315661616,1248.2580570058728,1
69,2351.1921215593125,1248.2620989447641,1
70,2351.1968427602214,1248.2757762262027,1
71,2351.2128317256497,1248.2832706989639,1
72,2351.2268963386837,1248.2876010082903,1
73,2351.2657336618718,1248.281539166306,1
74,2351.3001050248986,1248.2826691090936,1
75,2351.330081726267,1248.2835073798094,1
76,2351.3273640571547,1248.3077606323009,1
77,2351.3367657966505,1248.3105666707436,1
78,2351.3451423392153,1248.3048730183143,1
79,2351.3595653029256,1248.2854903374657,1
80,2351.2916701001927,1248.3784144935876,1
81,2351.2334653851767,1248.453492400424,1
82,2351.1832632237433,1248.5373164354162,1
83,2351.1394848314794,1248.6088329842369,1
84,2351.123946266927,1248.6607377010503,1
85,2351.1005699869156,1248.7067397550077,1
86,2351.090399275119,1248.73936987001,1
87,2351.069604983277,1248.7658914648737,1
88,2351.046232888114,1248.7735461909006,1
89,2351.03029049147,1248.7783383909753,1
90,2351.017211600027,1248.773075827442,1
91,2351.0162050710924,1248.770463452322,1
92,2351.017999143124,1248.7652812736112,1
93,2351.039187573151,1248.7414032912845,1
94,2351.057327863597,1248.709614840518,1
95,2351.08688888879,1248.690332276792,1
96,2351.057374610018,1248.6932294197018,1
97,2351.07738159168,1248.6722559850143,1
98,2351.1005920883317,1248.6642651541283,1
99,2351.1190575866062,1248.660830199499,1
100,2351.122474561387,1248.6242443870392,1
101,2351.136954096333,1248.5798347641116,1
102,2351.1351907408507,1248.536126143099,1
103,2351.117347973417,1248.5136275498817,1
104,2351.0988399361595,1248.5055643870103,1
105,2351.0857539112826,1248.500618298209,1
106,2351.0555118339803,1248.4902978379648,1
107,2351.0331942192047,1248.4950111674593,1
108,2113.756794271796,1033.8070755401043,1
109,1912.7009896179595,851.9152517166633,1
110,1983.43187997222,915.8936992394079,1
111,2049.809240219397,975.9364013279046,1
112,2110.4386558977144,1030.7620959367944,1
113,2164.4580510483866,1079.6392386243583,1
114,2211.486599115012,1122.2564078077044,1
115,2251.5860640730716,1158.6112386595062,1
116,2285.019704539737,1188.922024382573,1
117,2312.2656261578113,1213.5510126253964,1
118,2333.865853286983,1233.1149878834692,1
119,2350.4826396791177,1248.1663012225665,1
120,2362.769863581814,1259.2989545194112,1
121,2371.4081326527776,1267.1120167856122,1
122,2376.958994996365,1272.188687954456,1
123,2380.057840279577,1275.0284017899355,1
124,2381.200659175511,1276.0953354144397,1
125,2380.943500124687,1275.8330250203653,1
126,2379.584833903192,1274.6102838861937,1
127,2377.4639266436825,1272.7167415518547,1
128,2374.8994218761136,1270.3919373836654,1
129,2372.0827976122205,1267.8480472416022,1
130,2369.1860326898704,1265.2391622938499,1
131,2366.33993398641,1262.697310529868,1
132,2363.653409052531,1260.27568555334,1
133,2361.1789588953047,1258.035288869649,1
134,2358.9439786378875,1256.0209123438765,1
135,2356.9576715733147,1254.2487318013511,1
136,2355.2511718341107,1252.7214287693173,1
137,2353.86169667922,1251.4453155415335,1
138,2352.7524205550435,1250.3910328131806,1
139,2351.8758991885998,1249.5333598905756,1
140,2351.2043689652523,1248.87051078023,1
141,2350.675873821694,1248.3780419852642,1
142,2350.2974781618154,1248.035087902861,1
143,2350.0183163572874,1247.8387135951086,1
144,2349.849951770386,1247.724698850614,1
145,2349.761939989541,1247.684485011805,1
146,2349.711240674649,1247.6915397045263,1
147,2349.730471785611,1247.740073812462,1
148,2349.8590380306837,1247.730135950556,1
149,2350.0130807985333,1247.7452261072438,1
150,2350.159074019832,1247.7840783212328,1
151,2350.304152469724,1247.8487007386032,1
152,2350.4451052805066,1247.91808738232,1
153,2350.533377401923,1247.9699519277974,1
154,2350.606795386913,1248.034101869032,1
155,2350.6726555221817,1248.0901479347133,1
156,2350.734864329035,1248.145090339425,1
157,2350.7759397357117,1248.1840405679327,1
158,2350.807054932413,1248.2276517738442,1
159,2350.8363373264315,1248.2689835940298,1
160,2115.843129429365,1157.0699146308277,1
161,2151.9640671735874,1171.156555421595,1
162,2186.3210542254114,1184.5447130457844,1
163,2218.038509306101,1196.9046413160845,1
164,2246.4038515231923,1207.9693932021844,1
165,2271.466474863872,1217.6553258674662,1
166,2293.0094234878256,1225.9225573134586,1
167,2311.13511351117,1232.5660953225297,1
168,2326.1002105207244,1238.374523519329,1
169,2338.1638801454246,1243.0386004552038,1
170,2347.5716838182166,1246.665745025291,1
171,2354.725740004364,1249.4162690842554,1
172,2359.8798514816513,1251.409416028519,1
173,2363.218000499764,1252.7403960271722,1
174,2365.1787630339854,1253.552485641665,1
175,2366.110883530053,1253.9799849427993,1
176,2366.1844146681037,1254.0403703775746,1
177,2365.665794317012,1253.8410975281672,1
178,2364.830197767245,1253.5006002745467,1
179,2363.6846055998526,1253.029237368137,1
180,2362.263520166022,1252.495774435093,1
181,2360.7829289309834,1251.9338694810988,1
182,2359.2565371886203,1251.4146283701152,1
183,2357.8701597171994,1250.95861675393,1
184,2356.5740105048344,1250.5115135423023,1
185,2355.40227811606,1250.116668264602,1
186,2354.3353018754106,1249.7830292466833,1
187,2353.4345098767117,1249.49439825385,1
188,2352.6610287843037,1249.2423453513782,1
189,2352.051982094494,1249.0482432571137,1
190,2351.528920759409,1248.8515279112066,1
191,2351.111688526428,1248.6916318329238,1
192,2108.3785694712515,1034.288071581598,1
193,1902.7245228834324,852.603759248495,1
194,1974.778633090441,916.4538907090225,1
195,2042.4774531780922,976.4185740825966,1
196,1741.7901297501728,861.1818680384243,1
197,1489.7769856671684,765.9626247239801,1
198,1646.1679819825972,859.0969977106865,1
199,1788.7966459606243,942.8501285058455,1
200,1915.7810981724967,1016.4661825919192,1
201,2026.1617275468338,1079.8303738910895,1
202,2120.1782546340155,1133.127182582654,1
203,1892.1316181115028,1006.295648487619,1
204,1696.2398460486947,896.8806107545043,1
205,1531.6975177143129,804.528616576666,1
206,1703.0009162971144,898.8535378616465,1
207,1600.6270341302868,776.3624367822242,1
208,1516.5136386394615,673.8054607636899,1
