frame,x,y,visible
0,2403.5341796875,1231.095703125,1
1,2403.2247063546683,1231.2412523018475,1
2,2403.2927813253427,1231.2534285669342,1
3,2403.222088383182,1231.290499508674,1
4,2403.3544805262654,1231.257665156574,1
5,2403.2681818934193,1231.3767425419435,1
6,2403.2679930267714,1231.355454307296,1
7,2403.301771560882,1231.3320852354657,1
8,2403.307962037704,1231.3138192719828,1
9,2403.337385132777,1231.3067623388692,1
10,2403.351154095042,1231.3002189645078,1
11,2403.3526926579875,1231.3005287435478,1
12,2403.368940225928,1231.274929826919,1
13,2403.363587663416,1231.2676645114248,1
14,2403.3706104649455,1231.2771799478446,1
15,2403.3857670324196,1231.2840839509968,1
16,2403.403586739212,1231.286172628327,1
17,2403.422117619025,1231.297636674698,1
18,2403.4368477566536,1231.308433925168,1
19,2403.459473247058,1231.3072604498927,1
20,2403.4673615144015,1231.3098730384734,1
21,2403.473725717406,1231.306607940993,1
22,2403.486645600999,1231.2925205916536,1
23,2403.4973855738863,1231.2736310109328,1
24,2403.5001069738637,1231.2743349072975,1
25,2403.488180169832,1231.2730072751817,1
26,2403.481716118569,1231.2696512299772,1
27,2403.470452968004,1231.2747154011295,1
28,2403.4725646607226,1231.282242660219,1
29,2403.4518484624205,1231.2954430436398,1
30,2403.452903626233,1231.29652250785,1
31,2403.4560418111496,1231.3174452402036,1
32,2403.4538865577592,1231.3327900266856,1
33,2403.4654989646356,1231.3401708267102,1
34,2403.4843999367126,1231.3429331317507,1
35,2403.4943480312486,1231.3405529666934,1
36,2403.492408835912,1231.3476583679033,1
37,2403.5022512055643,1231.3425449311565,1
38,2403.5042510529715,1231.3413020080502,1
39,2403.5041667297537,1231.3350459757266,1
40,2403.4635639140024,1231.377706446577,1
41,2403.509613662295,1231.3311859778842,1
42,2403.5488175105183,1231.2917468810215,1
43,2403.5942004065605,1231.2529822617494,1
44,2403.615165561116,1231.2243775707284,1
45,2403.6431976788417,1231.2017121062577,1
46,2403.6510210690035,1231.195654784434,1
47,2403.6551785068714,1231.1959988678295,1
48,2403.669910724958,1231.188258472082,1
49,2403.6830732426633,1231.1912795996607,1
50,2403.559310945995,1231.2164384282516,1
51,2403.4504840343793,1231.239297839633,1
52,2403.490444302577,1231.2257836100252,1
53,2403.5303705109554,1231.2148403100039,1
54,2403.569609638795,1231.2094501095864,1
55,2403.6037328800135,1231.2052076980444,1
56,2403.6277175406462,1231.209564385876,1
57,2403.580832848608,1230.97157627645,1
58,2403.6322464458704,1231.0074043803736,1
59,2403.571064344059,1230.8023948252287,1
60,2403.5168499791776,1230.63382767009,1
61,2403.466970424379,1230.4937587335808,1
62,2403.4294481313855,1230.3655542924455,1
63,2403.3906616210847,1230.2719112592654,1
64,2403.3563879896624,1230.2060235425402,1
65,2403.333978935597,1230.1584284258288,1
66,2403.306765456548,1230.1222447901127,1
67,2403.282928610487,1230.1012603659,1
68,2403.2690328095773,1230.0929427751012,1
69,2403.2546254762105,1230.0917827912733,1
70,2403.2482384014743,1230.0848652450852,1
