frame,x,y,visible
0,2278.578125,1209.1761474609375,1
1,2278.2459247192883,1209.3295543591264,1
2,2278.093979433983,1209.3266949918564,1
3,2278.2113932334737,1209.39619401268,1
4,2278.171202784089,1209.176495324487,1
5,2278.2511215965387,1209.1758934874397,1
6,2278.3173078340833,1209.1023631777034,1
7,2278.3597984287007,1209.0312142041907,1
8,2278.4036320326836,1209.0834777403766,1
9,2278.497713085585,1209.124050643195,1
10,2278.5421375369083,1209.1624011561103,1
11,2278.5831427747976,1209.1653821832847,1
12,2278.525377589078,1209.174323809628,1
13,2278.464037020545,1209.1499604213247,1
14,2278.3332398707375,1209.0954536265178,1
15,2278.223716166417,1209.0783859321295,1
16,2278.162882421678,1209.058119885328,1
17,2278.1058333168203,1209.0315656477794,1
18,2278.0745853970234,1209.0086836872458,1
19,2278.0476007078614,1208.9910529457638,1
20,2278.0099055256,1208.9865942102233,1
21,2278.0247387366376,1208.9860729685101,1
22,2278.038107445899,1208.9796874879828,1
23,2278.032445076794,1208.9521567874021,1
24,2278.025300021403,1208.9299243593362,1
25,2278.0261010933573,1208.9169243351378,1
26,2278.0160163082137,1208.9338648372814,1
27,2277.999293195919,1208.9353042432588,1
28,2278.022774861916,1208.9324191954997,1
29,2278.0572496819323,1208.969984387539,1
30,2278.035065359979,1208.9352470725794,1
31,2278.0259183200724,1208.9218047210964,1
32,2278.0258966060765,1208.916725535451,1
33,2278.0237097454024,1208.8870654629516,1
34,2278.0127028060915,1208.8534927410426,1
35,2278.008026302098,1208.8274986574377,1
36,2277.995669635173,1208.8384807718603,1
37,2277.9889162373347,1208.8586847113304,1
38,2277.9889349936866,1208.858108083589,1
39,2277.989974606916,1208.857603178222,1
40,2277.991264797583,1208.877029659641,1
41,2278.002169536689,1208.8982615016923,1
42,2278.0365680186023,1208.9458974957663,1
43,2278.0677324232893,1208.9845633132927,1
44,2278.113192816779,1209.0308163449592,1
45,2278.1490802643893,1209.0628220210058,1
46,2278.166300819061,1209.0837239539278,1
47,2278.1788296719496,1209.1034463181716,1
48,2278.2297411328627,1209.1092013531008,1
49,2278.2695970138084,1209.1029365357986,1
50,2278.2456772731803,1209.106048866883,1
51,2278.189500848314,1209.0870254718416,1
52,2278.1812205523534,1209.083307834176,1
53,2278.1713652014073,1209.0771140617069,1
54,2278.1698494794355,1209.0730300872297,1
55,2278.1287882046427,1209.0579171842508,1
56,2278.128738535767,1209.0360211128025,1
57,2278.1434437560724,1209.0073945523507,1
